Colony,Fragment,Treatment,Date,Time,F,Fm',Y(II),Buoyant
DP ,DP 12,100,2/3/2017,0,0.1475,0.1892,0.22,17.489
DP ,DP 4,100,2/3/2017,0,0.1436,0.1868,0.231,19.216
DP ,DP 2,100,2/3/2017,0,0.1333,0.1843,0.277,18.741
EP ,EP 12,100,2/3/2017,0,0.15,0.2,0.25,19.417
EP ,EP 2,100,2/3/2017,0,0.1505,0.2015,0.253,16.771
EP ,EP 4,100,2/3/2017,0,0.1471,0.1926,0.237,17.29
HP ,HP 3,100,2/3/2017,0,0.1858,0.376,0.506,18.205
HP ,HP 1,100,2/3/2017,0,0.1662,0.3412,0.513,18.091
HP ,HP 10,100,2/3/2017,0,0.1534,0.2431,0.369,17.808
IP ,IP 13,100,2/3/2017,0,0.1676,0.2142,0.217,14.52
IP ,IP 6,100,2/3/2017,0,0.1451,0.2108,0.312,16.762
IP ,IP 2,100,2/3/2017,0,0.1515,0.2196,0.31,16.785
JP ,JP 7,100,2/3/2017,0,0.1309,0.1725,0.241,19.17
JP ,JP 1,100,2/3/2017,0,0.1882,0.2598,0.275,19.286
JP ,JP 6,100,2/3/2017,0,0.1279,0.1745,0.267,17.764
KP ,KP 5,100,2/3/2017,0,0.1819,0.2632,0.309,18.387
KP ,KP 2,100,2/3/2017,0,0.1681,0.2358,0.287,18.945
KP ,KP 10,100,2/3/2017,0,0.1525,0.2289,0.334,17.162
DP ,DP 6,400,2/3/2017,0,0.1431,0.1892,0.244,17.272
DP ,DP 3,400,2/3/2017,0,0.1466,0.2093,0.3,18.444
DP ,DP 9,400,2/3/2017,0,0.1569,0.2015,0.221,18.532
EP ,EP 10,400,2/3/2017,0,0.1451,0.1995,0.273,19.603
EP ,EP 3,400,2/3/2017,0,0.1402,0.1917,0.269,18.508
EP ,EP 11,400,2/3/2017,0,0.1495,0.1961,0.238,22.295
HP ,HP 4,400,2/3/2017,0,0.1426,0.3049,0.532,17.899
HP ,HP 9,400,2/3/2017,0,0.1657,0.2328,0.288,15.939
HP ,HP 5,400,2/3/2017,0,0.173,0.2814,0.385,18.056
IP ,IP 7,400,2/3/2017,0,0.1446,0.199,0.273,15.839
IP ,IP 10,400,2/3/2017,0,0.1392,0.1892,0.264,14.018
IP ,IP 5,400,2/3/2017,0,0.1642,0.2544,0.355,16.039
JP ,JP 2,400,2/3/2017,0,0.1623,0.2284,0.29,18.58
JP ,JP 9,400,2/3/2017,0,0.1961,0.2701,0.274,18.36
JP ,JP 4,400,2/3/2017,0,0.1657,0.2353,0.296,17.104
KP ,KP 8,400,2/3/2017,0,0.1657,0.2358,0.297,17.919
KP ,KP 7,400,2/3/2017,0,0.1475,0.2235,0.34,21.604
KP ,KP 3,400,2/3/2017,0,0.1426,0.2309,0.382,17.4
DP ,DP 10,700,2/3/2017,0,0.1529,0.2064,0.259,21.81
DP ,DP 11,700,2/3/2017,0,0.1485,0.1882,0.211,19.077
DP ,DP 7,700,2/3/2017,0,0.1544,0.2186,0.294,20.924
EP ,EP 5,700,2/3/2017,0,0.1613,0.1946,0.171,19.175
EP ,EP 7,700,2/3/2017,0,0.1436,0.1917,0.251,17.493
EP ,EP 6,700,2/3/2017,0,0.1574,0.202,0.221,18.656
HP ,HP 6,700,2/3/2017,0,0.1637,0.2593,0.369,19.871
HP ,HP 11,700,2/3/2017,0,0.1603,0.248,0.354,17.564
HP ,HP 2,700,2/3/2017,0,0.1765,0.3461,0.49,19.205
IP ,IP 3,700,2/3/2017,0,0.1348,0.2093,0.356,19.662
IP ,IP 4,700,2/3/2017,0,0.1431,0.2167,0.339,15.23
IP ,IP 9,700,2/3/2017,0,0.1838,0.2603,0.294,14.425
JP ,JP 12,700,2/3/2017,0,0.1775,0.2456,0.277,17.573
JP ,JP 3,700,2/3/2017,0,0.1691,0.2426,0.303,16.479
JP ,JP 10,700,2/3/2017,0,0.1853,0.2588,0.284,16.944
KP ,KP 1,700,2/3/2017,0,0.1917,0.2588,0.259,18.641
KP ,KP 11,700,2/3/2017,0,0.1559,0.2206,0.293,16.462
KP ,KP 4,700,2/3/2017,0,0.1632,0.2304,0.291,19.078
DP ,DP 1,1000,2/3/2017,0,0.1662,0.2333,0.288,19.045
DP ,DP 8,1000,2/3/2017,0,0.149,0.1966,0.242,20.481
DP ,DP 5,1000,2/3/2017,0,0.1701,0.2333,0.271,20.361
EP ,EP 1,1000,2/3/2017,0,0.1657,0.2123,0.219,19.451
EP ,EP 8,1000,2/3/2017,0,0.1466,0.1897,0.227,19.109
EP ,EP 9,1000,2/3/2017,0,0.1642,0.2108,0.221,18.502
HP ,HP 8,1000,2/3/2017,0,0.1402,0.225,0.377,17.945
HP ,HP 7,1000,2/3/2017,0,0.1554,0.2485,0.375,17.548
HP ,HP 12,1000,2/3/2017,0,0.1716,0.2569,0.332,17.959
IP ,IP 8,1000,2/3/2017,0,0.1466,0.2098,0.301,16.733
IP ,IP 11,1000,2/3/2017,0,0.177,0.2515,0.296,15.818
IP ,IP 1,1000,2/3/2017,0,0.1559,0.2324,0.329,16.797
JP ,JP 11,1000,2/3/2017,0,0.1652,0.2328,0.291,17.776
JP ,JP 8,1000,2/3/2017,0,0.126,0.1735,0.274,17.258
JP ,JP 5,1000,2/3/2017,0,0.1377,0.1877,0.266,17.684
KP ,KP 12,1000,2/3/2017,0,0.1559,0.2265,0.312,16.82
KP ,KP 9,1000,2/3/2017,0,0.1858,0.2681,0.307,16.594
KP ,KP 6,1000,2/3/2017,0,0.1593,0.2348,0.322,19.396
DP ,DP 12,100,2/22/2017,1,0.1819,0.2613,0.304,
DP ,DP 4,100,2/22/2017,1,0.1593,0.2309,0.31,
DP ,DP 2,100,2/22/2017,1,0.1863,0.2716,0.314,
EP ,EP 12,100,2/22/2017,1,0.1745,0.2637,0.338,
EP ,EP 2,100,2/22/2017,1,0.1431,0.2039,0.298,
EP ,EP 4,100,2/22/2017,1,0.1775,0.2603,0.318,
HP ,HP 3,100,2/22/2017,1,0.1877,0.3054,0.385,
HP ,HP 1,100,2/22/2017,1,0.1456,0.2333,0.376,
HP ,HP 10,100,2/22/2017,1,0.174,0.276,0.369,
IP ,IP 13,100,2/22/2017,1,0.1505,0.2304,0.347,
IP ,IP 6,100,2/22/2017,1,0.1431,0.2328,0.385,
IP ,IP 2,100,2/22/2017,1,0.173,0.2608,0.336,
JP ,JP 7,100,2/22/2017,1,0.1431,0.2284,0.373,
JP ,JP 1,100,2/22/2017,1,0.1456,0.2343,0.379,
JP ,JP 6,100,2/22/2017,1,0.1701,0.2603,0.347,
KP ,KP 5,100,2/22/2017,1,0.1564,0.2431,0.357,
KP ,KP 2,100,2/22/2017,1,0.1564,0.2681,0.417,
KP ,KP 10,100,2/22/2017,1,0.1706,0.2775,0.385,
DP ,DP 6,400,2/22/2017,1,0.1431,0.2,0.284,
DP ,DP 3,400,2/22/2017,1,0.151,0.2191,0.311,
